videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@roastingtv1296,Thankyou minhal bhai i was waiting for this video thankyou so much ❤,2019-02-26T16:58:01Z,8
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@sktirmizi4573,Thank you minhal,2019-02-26T14:20:02Z,7
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@mytechexplanations6923,"Yes , absolutely..",2019-09-21T03:39:02Z,5
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@kashifkingkhan3364,Thanks bro.. aapne mera rasta aur asan kr diya.. mera tensn khatam ho gya❤,2019-02-26T20:15:15Z,2
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@ZEHERTHEPOISON,i am coming soon brother hope we will meet,2019-05-11T19:57:08Z,5
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@bms1747,Best video ever fully  detailed     Clear concept,2020-03-19T11:26:33Z,1
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@ronysohag5924,Bro tell something about malta study visa,2019-02-27T06:33:32Z,7
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@azimkhan3324,In Rome university business department is available.,2019-09-24T17:22:20Z,6
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@MOHDFAISAL-qw8mz,Bhai.... Awesome behaviour,2019-04-24T16:52:02Z,0
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@bazilsyed6288,Brother bhoot wait karwatay  ho blog kay liya 😂😂😂😂😂😂,2019-02-26T14:33:32Z,2
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@umerabbas8554,Hahaha yrr thanks..,2019-08-23T17:27:22Z,2
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@anujharipur2326,Bro last me majaa agya passport wala🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂🤣🤣🤣😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂🤣🤣😂😂🤣🤣🤣😂😂🤣🤣😂😂🤣🤣😂,2019-08-28T04:12:30Z,1
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@shahzabakhter4217,Love from milan Italy very informative video,2020-05-29T19:32:12Z,0
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@osamazahid715,Your video always help me,2020-03-15T09:48:24Z,1
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@ammarkhan4539,Asslam-0-alikum bhai..bht achi information di aap ne..aap se aik request he k part time job  k lye jo paperwork required he us pr bhi koi video bna den...,2019-06-21T06:53:57Z,2
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@gopinathmallick8471,Thanks 😊 Love from 🇮🇳,2019-12-22T19:25:15Z,13
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@osamazahid715,keep it up,2020-03-15T09:48:35Z,1
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@shaikhsajed4409,"bhai please, can you make video on university tranfer from poland to germany.",2019-03-03T15:54:01Z,2
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@osamazahid715,You the best Bro,2020-03-15T09:48:12Z,1
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@furkanali3227,Thanks brother,2020-01-15T13:56:06Z,1
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@manishsaifi8862,I love you  bro,2019-06-08T06:32:15Z,1
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@m.h.wasimelahi3878,Minhal bhai ma aap se contact kesay kr sakta hoon consultation k liye?,2019-11-30T07:43:25Z,6
AwLTvayr0AQ,JOB MARKET OF ITALY | FINDING WORK | SALARY 🤔🤔,Where to start when looking for a job in Italy? How to find a job in Italy? What is a typical salary in Italy? Which companies in Italy ...,2019-02-26T14:12:57Z,@AdnanKhan-nn3wm,THANKS,2020-01-02T23:31:09Z,2
