videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@tondaron2362,"Employers in France need to have a very valid reason to fire you, otherwise you can easily sue them back",2024-03-30T01:44:27Z,56138
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@aureliediebold9444,In France it is very very difficult to get fired other than economical reasons. The law is very protective with workers. The bad side of it is that employers hesitate a lot to hire people....,2024-03-30T01:36:30Z,19853
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@ElMarin0-l6u,"In france, you can't just get fired with no reason. Employers will pretty much keep you on indefinitely. Of course, this means that employers really don't want to hire people so the job market is quite competitive.",2024-03-30T01:42:56Z,32697
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@lelouchvibritannia4235,My manager found out her husband has stage 4 cancer and then a month later my work fired her. She lost her family's health coverage. I am still so angry about the situation,2024-08-25T18:11:17Z,222
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@MrMadChemist,"""except for discrimination. But we both know discrimination isn't discrimination if we say it isn't discriminiation""",2024-07-21T15:18:26Z,984
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@jebliiii,Perfect finish: We are not monsters,2024-08-02T22:35:11Z,3181
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@michellemorrison9663,"Another thing that happens here in the US, when an employer doesn't want you anymore, they keep pushing you to the limits. They low-key mistreat you. They skrew with your schedules, they load you with work, they do anything so they can corner you to quit, and their hands are clear🤷🏻‍♀️ Or... laying off... the famous lay off. Many people (majority) never come back from getting laid off.",2024-04-01T15:43:31Z,4384
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@CrocusSeal,I got fired for taking the day off when my friend took her own life. THat's when I learned that in the US they don't have to give you a reason,2024-08-17T14:37:18Z,893
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@videocliplover,I sarcastically lol’d at the “we are not monsters” part,2024-06-11T14:51:43Z,1646
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@AstroBaby91,That's why nobody should give 2 weeks' notice. They don't give you anything.,2024-03-30T01:53:09Z,6529
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@Im_Ellipsis,"Remember kids, if companies don't have to give a 2 week notice yo fire you, you don't have to give a 2 week notice before you quit",2024-04-03T11:06:52Z,5827
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@river-melody007lover,I live in England. I worked at a restaurant and 5 of the new employees quit. For about a month and a bit I was doing their jobs and my own. When I went to my manager and refused to continue doing the work that the other 5 quit doing and just walked out I got fired… I wasn’t being paid for their jobs…   Karma got my manager though because when the owners found out I was given 5K! Turns out the owners were a Thai couple. The manager also got fired.   I was Offord my job back and I said no. I teach cricket to disabled people now. I love my job.   Hope everyone has a great week ahead.,2024-08-27T01:06:40Z,290
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@FTW_Wolf,"America is a corporation, not a country.",2024-07-21T09:54:23Z,7028
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@c123-i6n,"As a chronically ill person who lives in US, this is very accurate.  Then, when you are homeless because no one will hire you because of your illness, you are criminalized and told to get a job.",2024-06-03T20:05:22Z,5181
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@danielleking262,"As someone who recently lost their job, healthcare, and benefits...... This feels like salt in the wound.",2024-03-30T01:49:36Z,495
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@no_name_but_alias,"""We are not monsters."" 😂",2025-03-05T17:48:41Z,7
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@ScienceFactoftheday,I have changed many jobs in the U.S. and never lasted more than 2 years in a job…now I work for a German company and it’s been 7 years and counting,2024-05-07T13:48:38Z,3332
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@Thursdayschildfar2go,"Oh, employers discriminate all the time. "",At will employment"" is an excellent cover for getting rid of someone who would otherwise have grounds to sue. A certain big bank I worked for eliminated every pregnant woman/ new mother/ mildly disabled employee in a large department simply by crafting an attendance policy that targeted them. Somebody finally did sue--years later--and they settled.  Everybody still went through a period of unemployment at a time when they were very vulnerable.",2024-03-30T11:15:22Z,1398
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@Mephistophiluss,"In the US it is actually to the employer's benefit to not explain why they fired someone, because if they do and they get sued, they actually have to defend it.  If they give no reason then they can make up what ever they have the strongest support for to protect themselves.  The fact in the US we are expected to give notice about leaving a job, but employers can just let you go at any point and offer you nothing is insane.",2024-03-30T01:34:15Z,3950
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@izziennegerwel,Not only in France. Most countries in the world operates that way,2024-08-07T18:39:02Z,147
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@MajoradeMayhem,The idea that your employer should have ANY control over your healthcare is absolutely dangerous and insane. I don't know why America thinks this is in any way okay.,2024-06-04T22:47:12Z,1869
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@tintinlavigne5257,The accent switch is awesome 😂,2024-07-07T06:47:31Z,1047
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@janetslater129,Yeah....right.....discrimination.  Employers can state something else to cover their butts.,2024-03-30T02:12:31Z,169
83dEo7cMDAA,losing your job US vs France #france #usa #livingabroad #workersrights #corporatelife #french,,2024-03-30T01:24:24Z,@bootslawless,"Just lost my job with no explanation after being there for a year, receiving continuous praise from management. Very confusing and big blow financially.  What a crooked system",2024-10-23T17:18:37Z,14
