videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@i3rtje,i have social anxiety so this is hell for me lol..,2023-12-08T13:18:22Z,6
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@vidadesolteiro,"I don’t do anything wrong, I don’t deal with drugs ou anything illegal, I always stay only the amount of days I say I’ll stay, but I always get nervous when crossing the border. 🤷‍♂️ I live in Toronto and I travel very often to US.",2024-01-04T07:20:49Z,27
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@emmanuelfiolakis9297,"Δεν έχω χάσει 'webinar' μιλάμε, τα έχω σε memory κάρτες από εποχή 'UK'!",2021-04-10T14:06:14Z,2
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@NabukaluAngel-ke6wc,Good job,2023-06-21T18:24:56Z,1
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@lhrjfk2000,Where to apply and what's the age restriction,2024-02-18T23:44:33Z,6
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@sivaloganadanganessane,Because of those they send back trusty outside  who worked me in ship they were worked in customs border,2024-04-05T05:55:01Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@mithumd3051,Nice.. Piece,2024-08-27T09:43:54Z,1
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@JayadevAdhikari,1:37,2023-05-02T10:40:48Z,3
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@petekdemircioglu,😘😘😘,2022-03-23T13:32:19Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@AnhTuPhucDerrickHoangCanada,hmmm...whats more on this?,2022-07-18T20:06:23Z,1
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@hungnguyen-so7ou,"head: approved, tail: denied.",2025-04-08T15:13:54Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@tecladuran1751,"And millions are crossing the border of Texas, no problem.😂😂",2024-01-31T01:22:31Z,7
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@2289vicky,Do that in the US border too! 😂,2024-05-28T04:21:11Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@JuanjEspinosa,I’m a ex military police . Where can I apply for customs…,2024-12-10T23:47:22Z,1
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@silvercreekcrossing,Continuing my training,2022-12-04T00:00:32Z,10
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@aas6336,Good job!,2020-02-24T19:15:36Z,5
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@RaviShah-tsjj,"😮 airplane passanger in ATM machine fix sestam) installation , railway passenger train hope you postive reply ,",2024-03-13T11:13:11Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@edwinjuanmunozmoran796,Primer        warning   ok,2024-01-01T22:17:01Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@mariaphilomena1422,6 years ago. No wonder,2024-12-08T03:14:44Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@joshuadominictoling5310,"U.S. Customs and Border Protection must remind passengers to welcome back to the United States! “I know that you’ve flown to Asia, Europe, Middle East, and Latin American Countries!” Said the CBP Officer.",2024-06-27T15:28:24Z,1
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@whyyou3346,Check overstay visa holders,2019-11-18T11:29:13Z,13
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@Phlegethon,Some people seem nervous cause they can’t speak English or other non issues,2024-06-08T06:42:30Z,0
4YgWveReDIo,US Customs and Border Protection hiring in SoCal I ABC7,"U.S. Customs and Border Protection is hiring, and ABC7 got an inside look at what the jobs look like.",2018-05-12T05:40:14Z,@ThereYouAreT1,"1:00 people may be nervous about anything that could go wrong.  example: what if the embassy gave me the wrong visa, what if my passport was involved in identity theft withoutmy knowledge..or nervous simply because they are in a different environment, or being close to an officer with a gun, or afraid that scary police dog- many more",2025-10-02T17:16:43Z,0
