videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@ShaneHummus,✅ GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS 👇 https://go.thecontentgrowthengine.com/rja-12-31-2024 ✅ Remote Work Red Flags: How to Spot and Avoid WFH Scams Guide: 👉 https://go.thecontentgrowthengine.com/lm-12-31-2024  Coursera Online Courses: https://imp.i384100.net/Try-Coursera  ✅ From Zero to Hero: The Low-Tech Guide to YouTube Success Guide: 👉 https://go.thecontentgrowthengine.com/2lm-12-31-2024,2024-12-31T01:37:25Z,450
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@Joe-Przybranowski,I'll take boring over stressful any day of the week.,2025-01-19T01:34:17Z,12353
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@GreedoShot,i want to be the guy who decides how long you're suppose to microwave things,2024-12-31T11:30:13Z,6607
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@OneEyedKingg,Never listen to influencers. Nearly every job requires you to be licensed.,2025-09-21T21:42:04Z,83
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@NovaRift,I love all these “always hiring” and yet not a single person has called me back for any of these and I applied for all businesses,2025-02-08T08:21:13Z,289
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@toxboxdevel6026,"3:13 ""no experience"" and ""building a portfolio"" do not apply simultaneously. A portfolio is proof of experience",2025-01-31T21:49:41Z,2982
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@MsBettyRubble,The 2nd job is Technical Writer. It's a lot more stressful than he suggests. I've been one for 25 years. Deadlines and workload can be steep.,2025-04-13T22:23:31Z,526
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@notthatyouasked6656,"My sister was a college career counselor for many years.  She would recommend the funeral industry to many people.  It's a vital community service and unlike most service jobs, it pays very well.",2024-12-31T03:57:14Z,2352
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@Digger-Nick,"Nobody is getting into database administration remotely with ""little"" experience.",2025-01-01T17:45:31Z,2177
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@flp376,My family has been in the funeral business for over 150 years. People are dying to come visit us.,2025-04-15T16:05:19Z,560
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@vashlash6870,"Funeral sales, is an absolutely genius idea. My mother used to make bank selling mausoleums. It makes sense that there's so much money in these two industries. Funerals are so unbelievably expensive.",2024-12-31T00:42:50Z,1313
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@Jaseinatl,It would be great to have a list of remote jobs or regular jobs even that accept older people. So often a business doesn't want to hire someone who is 55 years old. A collection of jobs where age is no barrier would be really helpful.,2025-03-07T05:45:30Z,223
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@ENash699,"I work production in the oilfield on nights and made $78k this last year. It takes some learning but is pretty easy once you get the hang of it, it's just like babysitting oil pads to make sure the automation  is working properly. If you get smaller pads and they run pretty well most of the time you get the rest of the hour to just chill until you go to your next one",2025-04-19T04:32:24Z,59
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@naterksmr,Database administration role with little experience? B.S. Meter going berserk. Citation required.,2025-01-20T21:13:27Z,773
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@JoshuaBusch-c9m,It is exactly like a wedding planner. The only difference is that you can smell your own flowers at a wedding.,2025-02-04T04:07:44Z,132
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@rvanonymous,I have a bachelors in technical writing. I write software manuals ten years ago; you cannot even find a job doing this anymore.,2025-06-20T04:54:06Z,14
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@anitaknutsdatter1469,"The second one; user manuel writer. I've worked in a hardware store for 18 years,and find it frustrating how  many user manuals are not user friendly😅 I'm going to investigate how I can apply this to the Norwegian work market. Thank you!!!",2025-01-26T19:57:11Z,549
SU9qNEi5aYk,9 Boring But High Paying Remote Jobs (Always Hiring in 2025),GET CURATED RESUME TEMPLATES WITH AI PROMPTS + BEST JOB LISTINGS ...,2024-12-31T00:00:18Z,@brendaholiday003,"Just a note: Documentation Writer is SAME as User Manual Writer. The job title is actually called ""Technical Writer"" and it includes writing User Manuals (""how to"" guides & documentation for software products and services) and SOPs (that is, Standard Operating Procedures, often those used to protect Data Centers and support IT network security). Writers can specialize in one of these two areas, but generally do both if they work for your average company. Not always easy to land a job in this field due to high competition. (I was in same room with Steve Jobs several years ago, so hope to be qualified to write this comment.)",2025-01-22T20:04:25Z,546
