videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@queensupreme2000,"The shits kinda genius though. She probably was doing the work of 2 people, hell might as well get paid for it. 🤷🏾‍♀️",2019-07-10T17:52:30Z,625
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@wantjustice843,Sh**. That wasn't no money.  She doesn't need donkey of the day. How about paying people a living wage.,2019-07-10T21:26:15Z,119
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@michellegreen2994,"CLEVER AF... She must have told one person; then it went from there, now she got caught. Moral of this: DON'T tell anyone ever never.",2019-07-10T17:43:08Z,1158
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@sumkinfambizent,She's been arrested for the same thing before and STILL got hired as a manager. This lady has to be saluted...,2019-07-11T13:07:04Z,11
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@95alive77,DOTD?? She should be getting Finesser or the Year!!,2019-07-10T17:36:16Z,807
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@marcusfelton8729,They let her be a manager with her previous record.,2019-10-01T17:36:05Z,1
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@Angeliina1,why that family fightin at disney land aint get donkey of the day yet,2019-07-10T17:42:17Z,1261
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@malikwingfield5264,2 months and only made 1600 bruh I dont blame her if their pay is that shitty,2019-07-10T18:17:58Z,193
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@Dniqueontheway,1600?! In 2 months?? Dunking Donuts needs to go to jail for that salary,2019-07-10T17:48:04Z,885
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@TheDrivingRoom,"Dunkin' Brands chief executive Nigel Travis' total compensation more than doubled in 2014 compared to the year prior, according to data from the company's latest proxy statement. Travis, who took the reins of the Canton company six years ago, made $10.2 million last year, compared to $4.3 million in   And they paying people this fucking low...someone that’s working 40-60 hour a week making 28k THIS IS AMERICA",2019-07-12T06:30:07Z,0
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@platinumrose,🌹Scammers be low-key geniuses often time. 😭,2019-07-10T17:39:07Z,970
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@treyjrawlins,"You gotta work full-time, with a lil fraud on the side to afford life sometimes.",2019-07-10T18:45:52Z,61
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@_Dennis2Society215,"She worked them hours for that imaginary employee , so she deserved that extra cash 🤣🤣🤦🏽‍♂️",2019-07-14T15:31:34Z,27
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@romanmona3556,"Charlemagne is a weirdo. ANYONE struggling who could work two jobs concurrently.. Would. She was probably doing two peoples work load, alone. Allot of these corporations rape these people with their wages.. Then leave women vulnerable to run these establishments, sometimes alone if not understaffed. Theft is wrong PERIOD.. however there's a circumstance and situation for EVERYTHING.. Except assaulting a women sexually or scarring a child. She deserves a second chance and a raise. 😝",2019-08-08T13:52:37Z,2
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@darylifillifill1677,I hope this Beautiful Black Queen knows if she can do what she did then she can build her own Company,2019-07-10T18:19:29Z,159
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@gracielagonzales3149,"i didn't even watch this yet, watch charla say, ""ya uncle charla always tell you the craziest people come from the Bronx and all of florida""",2019-07-12T11:43:21Z,0
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@hectormorones8733,Damn that’s kinda smart though lol woulda had that “employee” working extra hours also 😂,2019-07-10T17:36:03Z,357
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@kanyegang2810,When your a horse not an donkey! Lmao,2019-07-10T18:09:11Z,0
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@KayLuvSpngBob,"Not gonna lie... that was kind of a smart,dumb idea",2019-07-12T20:13:24Z,25
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@fishtankblue,These comments lit AF 👀✏️📝,2019-07-11T04:21:56Z,1
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@lenevee4925,"So she did the interviewing, W2 and direct deposit- Genius!",2019-07-10T17:40:42Z,257
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@kevininsales,"Now that's smart, good for her!",2019-07-12T13:52:46Z,0
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@FoshoTheOne,She look like YNW Melly... she was Melly and she hired Melvin 😂,2019-07-10T17:34:27Z,617
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@ai5ha1,Say what you want that chic was smart 😂😂😂 creative as hell,2019-07-12T13:22:53Z,0
a_86lqsCn2k,Florida Dunkin Donuts Manager Busted For Hiring Fake Employee And Pocketing The Checks,Subscribe NOW to The Breakfast Club: http://ihe.art/xZ4vAcA Get MORE of The Breakfast Club: ▻ WATCH MORE: ...,2019-07-10T17:33:04Z,@jaxoncrow6918,It's called running ghost. And it's very common by managers,2019-07-10T17:37:33Z,307
