videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@boshanan1,At the end of the day learning french is the key of all doors  in france.,2019-05-07T10:17:47Z,166
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@ButacuPpucatuB,Thank you so much!!!! You have the best advice. Looking for a job has gotten me a bit depressed. Seeing this video has been a ray of sunshine and given me direction to where I haven’t looked. Thank you very much ❤️❤️❤️❤️,2019-05-04T13:36:04Z,72
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@charlest8153,I've been studying French for two years and I plan to move to France.  I just need to get the work thing sorted.  Thank you!,2019-05-04T14:07:46Z,52
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@andregermain6205,"Congratulations for this video !!  I'm french so I'm not really concern by all the elements but I really think it's an excellent idea to make this video, I think many many people will be saved thanks to that ^^",2019-05-04T13:23:30Z,49
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@barbeams,"Thanks for the video, I have been unemployed for two months in the fashion field in Paris and I became so depressed recently. Wish I can get a job soon. ;)",2019-05-06T20:08:51Z,23
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@Sophie-zn6bg,This is the video i needed!!,2019-05-04T13:09:44Z,12
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@AlexAustralia27,"Thanks a lot for this video. I'm french, I've been living for the past 6 years in the US and Australia but I've decided to come back to France in few days. My girlfriend is Australian and she's coming too and your video will help us so much!",2019-05-04T13:21:23Z,25
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@gayathrivadivelu5432,"Merci beaucoup, Rosie! This is so timely!",2019-05-05T06:52:14Z,2
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@sylmacg1,"I really appreciate this video. I have found it to be very helpful!! I'd  like to start out in an English speaking job in France at least until my french becomes more fluent. I'm French, but have lived all my life in the US, and now looking to move to France so that my daughter can learn French as well.",2019-05-04T18:05:51Z,5
sQnD9gItJBU,How to Find ENGLISH SPEAKING Jobs in France | Jobs in France for English speakers | Work in France,"CHECK OUT MY NEW CHANNEL, BADASS CAREERS - Helping you find your purpose and do work you love: ...",2019-05-04T12:57:25Z,@fitzroviasclown,"AMAZING! thank you for this video, a lot of golden tips i can't wait to try them out!",2019-05-04T19:30:13Z,3
