videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@shirlenereid7888,"“If you want wheels, you have to say you want wheels” 😂😂",2025-01-20T21:38:31Z,3500
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@guidofoc7057,I am Italian and once I had to rent a car here in Rome. Never again. They are exactly like this.,2025-01-30T04:11:51Z,2705
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@solaris-1220,"The ""I know..."" is so incredibly strong lmao",2025-01-20T22:26:20Z,1779
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@TalkShowKelly,The gasp and “you’re still here?” Is my favorite. Also “the discount is….you have to pay more money.”,2025-01-21T02:12:26Z,1268
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@MargueriteMartinet,"Giancarlo only makes minimum wage, but he gets a 5 hour lunch break, and 37 weeks of mandatory vacation, so he stays on anyway.",2025-01-27T04:38:15Z,2540
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@jamesgloriod7195,"""..all the three levels cover nothingah...""  LMAO",2025-01-21T16:10:55Z,854
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@Kernow-Queen,"This has taken me back 18 years to the Italian car rental office at an airport that said our booked people mover wasn't available but offered us a Twingo. We had 3 children under 4 and a mountain of luggage. It was exactly like this until I placed 3 blonde babies on the counter. She screamed ""bambini"" and we were given a top end vehicle for no extra cost. The children were petted and fussed over all the way to the car park by a woman very much like this one.",2025-07-12T06:46:46Z,462
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@blackrainbow5143,"""We are open 11 to 11:10"" 😂😂😂",2025-01-27T19:23:51Z,435
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@littlelagoons,"""When you turn like this, the car make like this"" and ""Contract? Why you want contract"" are so deeply Italian",2025-01-31T09:19:47Z,300
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@mixchixbeauty2492,My parents renting a car in Italy is still one of the best stories I have to this day almost 20 years later 😂😂😂,2025-01-21T08:05:03Z,1389
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@sawilby,"The face when she says ""why you want a contract"" 😂☠️",2025-01-27T22:32:03Z,251
nZI3PED2KDo,Renting a car in Italy #shorts,,2025-01-20T20:42:38Z,@jenniebeez,this is so accurate it hurts,2025-01-20T20:55:34Z,775
