videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@luker7875,It's not just in Italy. Millennials everywhere are facing the same problems.,2021-02-14T18:14:19Z,2357
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@iknewyoudcomebacktome,"“Recommended for you”  Me, a high school student: *thanks I hate it*",2019-07-07T22:43:16Z,336
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@anthonyajube6142,"I am Italian and it makes me almost cry. I live in London for 9 years, so I really know the pain.",2021-02-25T07:50:49Z,196
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@IacopoCutino00,"""We are all depressed"" that is very true.",2021-02-24T11:19:47Z,172
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@FairPlay0007,"This is a trend in 21st Century's youth. Unlike the past, there a thousands of universities and colleges and it's much easier to get educated. But when everyone's ""educated"", the standards are set up too high.",2021-02-27T20:30:05Z,363
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@roy04,"Not just Italy, it's happening everywhere",2021-02-11T03:57:14Z,719
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@maryrosed8475,Very sad.  Italy is such a beautiful country.  We have Italian nurses here in Ireland.  They are wonderful.,2019-07-01T22:28:48Z,1453
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@nochu9753,Same in Argentina + if they don't know you through a friend or relative that says you're trustworthy they don't hire you,2020-01-15T01:35:23Z,284
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@МаксимилианФилипожкиь,I'm Italian and that's so sad I can't even watch it,2021-02-11T15:49:42Z,241
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@syahirrashid34,They are all jobless with impeccable sense of styles.,2019-07-01T18:40:25Z,2130
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@thiagoaugusto9262,It's the realty of Brazilian youth. I'm 28 years old and I'm still looking for a job,2019-07-14T22:32:02Z,311
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@ericlorenz6679,This is why Germany's dual-education-system is so valuable. Instead of doing your diploma you instantly start working at a corporate + go to a specialized school. After completion you your're often offered a job and stay,2021-02-22T11:50:56Z,258
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@starlight7499,"Same problem in Iran .Instead of sending work force to Germany, how about importing some German politicians and industry managers to Italy and kicking out useless politicians ?",2019-07-01T17:30:42Z,1562
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@AbdelrrazzaqAlbadr,"Unemployment is an international problem, especially with the new covid pandemic restrictions , it has already increased a lot.",2021-02-28T10:21:38Z,96
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@EzequielFerrari22,I was about to go to Italy to find a new job. Mission ABORTED.,2021-02-19T04:19:54Z,385
O1DSEkAgPj8,Educated but jobless: The exodus of Italy&#39;s youth,Subscribe to France 24 now: http://f24.my/youtubeEN FRANCE 24 live news stream: all the latest news 24/7 http://f24.my/YTliveEN ...,2019-06-20T12:40:00Z,@mr.balloffur,This started in the 90s when all kids are pushed into college. Now there are no jobs for them. It's a worldwide problem,2021-02-14T08:02:59Z,338
