videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@peacefulwife5199,"I started laughing hysterically with ""speako"".....😂😂",2025-03-11T13:06:13Z,5946
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@avidparent4643,😂😂😂😂 Her Spanish improved very quickly. Un poquita mas😂😂😂😂,2025-03-14T02:27:26Z,600
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@DoNotLikeThis,"C'mon Veronica, with that cuban accent you could've gotten $3.00 😂🤣",2025-03-11T16:30:09Z,3045
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@DevenSawdy-zd2yz,"Thanks Veronica I used this trick at my most recent interview as a head chef. When we got to talking about wage he asked what i believed i needed to get the best out of me and I told him $35/hr.  He asked what id give for $25 an hour. I asked if i could show him. He said he was down to prep cook that night and needed help getting all the protein cut up for the next day. He need 300lbs of chicken portioned for 2 different kinds of strips and ""cubes"" for sautee. The first 150lbs i did it his way,( which was focusing on one cut at a time all from the same cut off strip) i did it my way showed him how to get all three cuts out of the same strip and did the next 150lbs in 45mins. I get paid 33.50",2025-04-12T17:37:07Z,217
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@JoyceB-qv9xq,"I adore these skits.  Not only do they show others how to stick up for themselves, you are hysterically funny AND BRILLIANT!",2025-03-11T16:35:31Z,2545
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@esazonova1,"This is gold!!! 😂 As someone who speaks four languages fluently, I am really impressed with how Veronica revealed her language proficiency in steps! Well done, smart lady! 💕",2025-04-04T01:32:31Z,605
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@KeyonnahSharie-yg7mg,🤣 Veronica is a hoot! 💝💖💗,2025-03-12T16:43:52Z,335
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@cjay1533,"What this comes down to in general is , know your worth and don’t be bought for less. I live by this!",2025-04-09T14:56:29Z,61
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@caioton,"For 2.5$ I can speak dominicano, chica 😂",2025-03-11T14:11:24Z,501
bRxv27ugp9w,When Your Job Thinks Speaking Spanish Is Worth Pennies #corporate #animation #gplus #skits,,2025-03-11T11:18:31Z,@24kChefKimmy,😂😂😂🤣🤣🤣 my girl don’t play no games 👏🏽👏🏽👏🏽💯,2025-03-12T15:18:57Z,201
