videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@goatcheeseOnaBaguette,I felt like I was FaceTiming my dad who was trying to get me to join him at work,2019-10-04T08:28:53Z,7864
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@6double6.,My phone must've heard me talking shit about my job,2019-10-05T16:27:15Z,1999
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@andrew_kamen,Imagine if we got candid selfie videos from people in every industry casually explaining how they really function and how you can get started in them.,2019-10-04T03:11:48Z,2078
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@Elguapo93,It must of been his payday when he shot this and was feeling good lol,2020-02-01T15:03:12Z,1980
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@leanone64,"This reminds me of my dad, i never got to see my dad 10 months out of the year and went to go spend the summer with him in his rv, it was the best, he made some good money for our family and i got some real respect for him, rest in peace, 2 months since hes passed fuck cancer.",2020-05-04T20:28:37Z,878
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@tc8387,"I worked on a land rig from the time I was 19-24. Double, rotary based out of Illinois but we drilled Illinois Indiana and Kentucky. Anyone who wants to work on a rig, Do NOT be scared. The first 2 months are the hardest but I promise after that your body is used to it. After a year out there the job got super easy and I remember thinking a lot of times “I can’t believe I’m making this much money to do this easy of work. Don’t get me wrong, finish ups are a bitch. But on finish ups I’d always work a 16hour shift on overtime which made it much easier mentally.  Sorry for my run-on sentence and my shitty grammar. Like I said above I’m a roughneck not a English major.  Good luck men!",2019-10-06T17:50:43Z,1120
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@canyonbutler7013,You got a homeless man hired by sharing this info,2019-10-06T22:50:03Z,1157
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@cjlooklin1914,"To everyone saying ""And now he's broke"" this man makes $150,000 a year and lives in trailer for $500. He's fine.",2020-05-02T12:16:13Z,2513
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@peppaandpay,He said if you do a background check on me your printer better be full of paper🤣😂😂😂,2019-10-03T19:45:27Z,292
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@CoolBeans45,"“If youre gonna run a background check on me, your printer better be full of paper” 😂😂 9:00",2019-10-05T02:54:49Z,782
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@faycalrida5473,Oil goes below zero  Youtube: here we are man,2020-04-21T19:11:11Z,832
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@SEASICK206,"Thats the kinda guy I wanna work by. Straight up, clear n on point, just there to do his job n go home. Can tell he'd be easy to learn from",2020-02-03T16:05:14Z,139
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@icy9554,"“That’s all this is, people out here making money” 🤙🏽😂",2019-10-03T02:35:17Z,1208
qw1eZeJUvqM,You wanna work in the oil field? Here’s the simplest way to make 100k plus with zero experience,pipeline #oilfield Looking for work in the oilfield? Check out https://www.oilfieldjobshop.com as well as ...,2019-06-14T20:17:21Z,@TheInsaneCloud,"*""If you're gonna run a background check on me, your printer better be full of paper""* Lmaoooooooo",2019-10-05T13:34:33Z,146
