videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@KipperSkipp,As a person from Kansas I can confirm we have no internet.,2020-03-07T21:38:30Z,5062
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@californiarollwithramensea8220,This whole skit has aged incredibly well.,2020-06-08T14:51:24Z,19285
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@nickthenang,"Tosh doesn’t do stand up , he just talks to himself on stage for an hour (and it’s hilarious)",2020-08-04T00:39:36Z,10319
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@bentoomet8805,"This is one of the best specials ever. Literally non-stop, every single sentence is it’s own joke. True talent.",2023-11-29T02:09:47Z,684
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@foxfiresidechats5227,“There’s a fine between sarcasm and “oo this feels like a rally” “,2020-07-01T05:03:52Z,3662
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@jobordonaro6665,"""There's a fine line between appreciating the sarcasm and oooo this feels like a rally""",2019-10-09T21:27:45Z,1175
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@InterventionBeast420,"""It's been 22 days since our last horrible thing"". Well, this hasn't aged well.",2020-03-13T02:10:22Z,4684
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@tpearl9976,"Tosh needs to do another stand up, the world needs his dark humor more than ever right now",2022-03-23T03:02:41Z,422
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@hodlwise2470,"""You start hearing a couple of yeehaws, trouble's a brewing...."" LMFAO",2020-02-01T09:16:33Z,3196
3Sbw0lZ9LmY,How Do 90% of Americans Have Jobs? - Daniel Tosh,Daniel Tosh wonders why Americans still think they live in the greatest country in the world and tries to understand how so many ...,2019-10-05T16:00:01Z,@Fearless3773,"“I didn’t get here because I worked hard, I have a gift from God.”",2020-09-10T03:37:12Z,4375
