videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@MelanieLovesTampaBay,Still have questions about the Tampa Bay area? Leave them here and I'll try to answer as many as I can!,2019-03-26T16:28:45Z,32
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@EricEvolving,"Tampa tourism board needs to pay you!!!! That was awesome, thank you!   Maybe a pros/cons video next?",2019-03-26T18:52:37Z,92
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@JuicyPlayer,I’m a Tampa native and resident but your video makes me want to re-move back to Tampa lol,2019-04-13T22:28:57Z,59
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@yusufjohnson9357,"I moved to Tampa in 2014, and I love this area! I'm from Ohio, and I've convinced several of my fellow Ohioans including my brother to move down here. Great video!",2019-04-17T16:07:03Z,29
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@Monchichichan83,I live near downtown Tampa.  Lol I need to explore my city more cuz I haven't seen the new areas downtown.,2019-04-17T15:03:20Z,16
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@josryder7841,This was the video for ME!!! Thanks soooo much!,2019-04-22T15:29:11Z,9
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@emmanueladamson4892,"I am moving to Tampa in December from South California. I visited once and felt in love with this city. I was amazed to see the hided gems this city has to offer. For me, moving from San Diego to Tampa = keeping the same vibe. From a sunshine state to another sunshine state. I hope I won’t be disappointed for my decision.",2020-10-30T02:40:26Z,3
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@The1997Hman,I'm think of moving to Tampa when I graduate college .,2020-01-07T20:25:23Z,8
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@geraldnemeth7944,"Great job Melanie, great PR for our area.",2019-04-13T14:55:28Z,7
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@brunoluis182,You are great!! I am loving your videos!,2021-05-20T16:25:18Z,0
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@jillmorton3096,Good video! Very informative😁,2019-05-09T22:36:28Z,3
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@DJPartyFeet,"So That was very informative, I've watched many other videos of Tampa, and this is the most accurate, informational of them all.",2019-07-15T03:12:20Z,5
sndtsx62uM4,"Living in Tampa / St. Petersburg 🌴 Things To Do, Job Opportunities, Where to Live","Moving to Tampa / St. Petersburg? Sharing lots of helpful information from things to do, where to live, cost of living, job ...",2019-03-26T16:15:01Z,@tonyjackson6188,"Great video and info, loved it. Thanks for sharing/posting.👍🤗🤗 from Indiana.",2019-04-18T22:24:20Z,3
