videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@thembimabuza02,Really loved this interview. Such good points were made 👌🏽,2020-04-30T12:32:39Z,16
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@birsingh5388,Full of confidence 👍,2019-08-26T11:22:12Z,21
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@anirbanaws143,This man is a good host.,2019-09-19T20:44:26Z,8
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@luckybeast45,"She's positive that's why she's successful.I also don't think French could be the backbone for getting work in francs ,they are skills which matters the most .",2019-07-18T07:15:06Z,17
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@hannahnguyen4154,"I'm so glad to find this video while doing research on studying master in France. I can somehow relate to the interviewee here because I also graduated and worked and now wanting to go back to study. Would it be possible to have a video on the application and studying masters in France? For international students, especially those from outside of EU, I wonder if graduation from a public university versus a grand ecole would reduce the chance of getting a job.",2020-05-01T11:05:44Z,10
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@deeptorr,"Excellent video, thanks for the insights!!",2020-11-22T02:08:36Z,2
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@apoorvsaxena3886,Amazing personality !,2019-07-17T18:18:00Z,4
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@amitcarbyne3635,she is so confident,2019-10-25T12:49:17Z,4
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@manangaur8288,Good job bro love from india 😉,2019-07-17T14:12:03Z,2
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@ashishshinde2623,Enjoyed the video! Informative video. Keep posting auch videos! 👍,2022-01-22T19:16:26Z,1
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@darlingmukesh,Wow bro thanks i love all ur video its so informative,2019-07-18T18:11:22Z,1
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@anjalikrishna2784,Amazing personality 🙏,2020-11-21T16:13:43Z,2
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@sufiyanmemon6094,"Hi Nikhilesh, great video like always. Please make one for studying Phd in Managament in European countries.",2019-07-17T15:02:38Z,2
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@azimkhan3324,Very nice video with good information.,2019-09-25T02:57:44Z,0
O_jMC0xlePI,GETTING JOB AFTER MASTERS IN FRANCE  #SKEMABS,Visit www.JnmEducation.com and register yourself for free education counselling WHAT IS BEATNIKERS? WHY BEATNIKERS?,2019-07-17T13:08:52Z,@pavankumarvinukonda9839,Anyone Telugu?,2019-09-21T19:39:00Z,6
