videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@vbonke007,"The bridging was important and you have covered the Information arbitrage in this video.Thank you, my friend.",2018-11-30T15:40:42Z,10
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@mohitgupta4863,"Bharat, again a great overlook and filling the gap between students and employement. Thanks for such a video and do try to cover up on Electronic branch too, if possible. God bless you, my brother.",2018-11-30T15:50:48Z,13
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@sunilreddy6383,"Bharath Bhai, please do a same type of vlog for EMBEDDED SYSTEMS. Thank you.",2018-12-02T08:11:04Z,8
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@shubhampatra7305,I have total 6 years of experience in Manual Testing. Will I get any value of my experience if I do MS in Computer Science?,2018-11-30T16:15:31Z,14
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@nikksaddictive4622,"Bharat Bhai, do you use any instrument to hear people's inner voice. A few moments before, I was also thinking the same especially the app development .",2018-11-30T18:26:06Z,15
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@arnab3603,Try to post videos for Commerce students too.. it will be very helpful.. 😊,2018-11-30T15:40:39Z,8
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@daowesim,ich liebe informatik. guten tag. danke,2020-07-23T09:33:01Z,0
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@sunnyside-d4s,"Vielen Dank für dieses Video! Ich lebe seit 11 Jahren im Ausland und habe mich immer wieder gewundert was ich hier studieren sollte, um am besten wieder Anschluss an Deutschland zubekommen, falls ich wieder zurück ziehe!! Danke",2019-06-12T21:22:11Z,0
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@aishwaryasuresh7937,Thank you so much! Got the right information on right time! :),2018-12-01T02:19:18Z,2
hZs6L1ClKc4,Job Opportunities in Germany: Computer Science,Register for FREE Webinar: “Everything about Studying in Germany”: https://bharatingermany.com/webinar Download the free ...,2018-11-30T15:30:02Z,@vikasagarwal2096,Thankx aton for making this video brother.. Looking forward to meet you soon in Germany or maybe in India! 😁,2018-11-30T15:36:26Z,3
