videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@dj.1094,Thanks for the tips I’m moving to Dallas next month and hoping to secure a job soon. I have my MBA in finance management so it’s good to know all the big 4 firms are in Dallas!,2019-06-18T20:57:01Z,12
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@arieeisme19,Thanks . I plan to move to Houston next year. while the cities are different the tips you provided are very helpful. I’m one of those people who do not use LinkedIn so I’ll be checking it out 😁,2019-05-05T22:53:19Z,12
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@vonitahall,I just moved to Dallas and your videos have truly been a blessing. I’m currently job searching and I’ll definitely be using these tips. I have to go update and get my LinkedIn together now.,2019-05-05T23:21:10Z,11
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@lexxt9710,I’m moving to Dallas when my lease is up. I’ll be getting my CPA before i leave my current city because I’m in the accounting field and i know that will go a very long way. I’m so excited!,2020-06-25T03:30:33Z,3
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@williamsullivan1758,"great tips, thank you",2022-07-15T15:38:04Z,0
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@octaviamcmurray9144,The best information!!! Thx❤,2021-11-27T21:49:49Z,0
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@tyrab2434,"I want 2 move from AZ, badly, just scared of job stability.",2019-11-15T02:47:43Z,4
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@mskeys26,Thank you for letting us know about Fiverr,2019-10-25T04:24:47Z,3
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@richardfelix6317,Really great video. Thanks for the information. Keep it up.,2019-12-31T06:41:25Z,0
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@stanley.fernandes,Thanks for making this beautiful video.,2019-12-11T17:27:01Z,0
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@thomasyoung4193,I'm from ny and I applied to a job on indeed and I got a call the same day.  Everybody has there own experience,2019-10-17T14:47:33Z,7
ue93TSqjD_E,DALLAS JOB MARKET + Hunting Tips!,"Hey, if you've made it here, thanks for dropping by! Questions about anything? Reach out to me! Let's Stay Connected: Instagram: ...",2019-05-05T21:51:45Z,@braaron77ify,"I will love to move to Dallas with a professional job before I get there.  But being out of State, dont even know how that’s possible with our current situation.  Pandemic and relocating... too many people seem to be moving to Dallas.  I have an MPA plus yrs of experience, but it seems like if you are not there right now, you get overlooked.  And I sure don’t want a temp or low pay job.  Love your channel and content.  Thanks for sharing.",2021-01-20T02:01:34Z,1
