videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@ameerhamza9077,Zabardast,2022-05-25T01:16:07Z,0
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@abubaker5140,Sir en mamalik main further study k liay bhi hamari degree WA say honi chaiay,2022-09-18T17:17:10Z,1
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@abubaker5140,Engineer & Technologist & Technician ka difference bata dain en ki study criteria bhi bata dain,2022-09-18T17:21:01Z,1
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@muhammadumerfarooq4548,Agar PEC accredation ho but washington accord  nah ho tu kia foreingn  study ya job koi engineer kar hee nahi sakta. Plz,2021-05-23T18:08:05Z,1
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@shehbaznadeem4021,Level nahi samjh aya level se kia muraad,2022-11-01T12:46:21Z,0
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@junaidwali8633,B tech waly apply kar sakty hy pakistan sy,2020-09-19T18:27:41Z,0
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@waqarwahab9707,Hame kaise pata chalega jb hum admission lenge to wu hamare time ma aus ki accredation hogi ? example UET Taxila software k lye accredited tha only 2005-2013 hame kia pata wu 2021-2025 B hogi ????????? please answer,2021-05-05T07:13:31Z,1
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@vmnicychannal22,Level 1 and level 2 man kis difference hy ??,2023-03-28T12:05:08Z,0
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@hoorainhassan499,"For Subclass 476 Visa, Graduates and post graduates both can apply. But it's mentioned that degree should be accrediated with Washington accord. There is no requirement of dublin accord. One can apply within 2 years of graduation/post graduation.  My question is if someone (from Pakistan) with Bsc Engg degree accrediated by Washington accord, done Msc Engg which is obviously not accrediated by Washington accord (as you mentioned dublin accord is required for this degree), can apply for subclass 476 on basis of MSc degree?",2022-02-15T07:49:01Z,0
R86OdalajQY,Washington Accord (WA) Accreditation Agreement For Pakistani Engineers (PEC) | Job and Work Visa,"Washington Accord Report Update: https://bit.ly/2Quekmm #WashingtonAccord #PECEngineers This Video covers: ""As on June ...",2019-11-20T09:00:13Z,@qktripyard,Is a student with MS degree is eligible?,2023-10-29T13:15:38Z,0
