videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@leomalik99976814,Amazing bro :),2019-09-11T11:04:06Z,4
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@_zzzfr,Ep 6 nd the first 5 mins of this ep. Me yeh soch e raa tha k itna serious ....but then...😂😆.... Nice done,2019-09-14T20:00:55Z,5
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@ahmedwani1648,Rishta channel😂✌,2019-09-11T18:30:55Z,2
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@abrarhussain692,Fine and good gheh,2023-12-28T11:19:28Z,0
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@Marbles-WorldASMr,inshAllah  i will in October 2020 smstr,2019-10-06T18:59:13Z,1
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@engineeringthings6725,Scope of mechanical engineering in Germany?,2019-09-11T12:18:58Z,1
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@majidrauf9507,Bhai wahan say study k doran Pakistan aanay ki chuti milti hai ya 4 saal tak wahan hi Rehna hai?,2020-02-25T08:01:25Z,1
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@data-fh6qv,Ma'am maine ccna kiya hai kya job mil jayegi please batao,2020-09-11T13:26:22Z,0
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@muhammadaqib8030,what is the scope of IT field in germany,2019-09-20T18:42:54Z,1
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@speakerzeeshan,Study about become a software engineer,2020-05-02T09:55:34Z,0
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@faisalio717,I did electronic engineer in pakistan.  Is there any job related to my field in Germany,2019-12-25T05:23:28Z,1
4aiyK0uP3R4,Importance of Networking for Job Market | Desi in Europe | MR Podcast Ep. 7,We often underestimate the power of networking either to find a job or even after getting one. What I learnt from my experience is ...,2019-09-11T10:43:46Z,@jsjsjbsjhsjsjsjbsjhsbzbbs734,Bhai! Make a video on institutes offering German language course with their fee structure & other expenses.🙏🙏,2019-09-11T15:07:33Z,5
