videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@krystoph4420,You forgot a YouTuber or a rapper with a name startin LIL,2020-02-02T17:03:38Z,1473
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@S4IF15,Not all heroes wear capes. Thank you,2020-02-02T11:16:00Z,840
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@wade4839,I dont care about having a lot of expendable in come I just need a job to allow me and my family to go out and enjoy the world not just living pay to pay check shit.,2020-02-05T21:33:39Z,571
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@ableman2108,The highest paying job is start your own business.,2020-02-03T18:21:44Z,1524
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@waltjacob3776,"Crime, that’s pays a good wage.",2020-02-07T07:59:25Z,847
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@Lydon31,"And not to forget it is who you know these days, not what you know.",2020-02-08T15:21:42Z,146
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@viizii,I quite fancy the electrician role. Thanks for this video it's very helpful :),2021-10-21T10:09:37Z,6
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@charlesamollo6550,"Thank you so much,your word is an eye opener to many walks of humanities",2019-11-29T12:24:12Z,26
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@rowenatwesigye6609,The info I wish was available before I chose my career path 20 years ago.  This is Gold! It would be great to see one for people with degrees too. Thank you.,2021-07-17T08:24:39Z,67
WH63afpFecM,7 highest paying jobs in the UK without a degree 2019/2020 | Earn over £100k,Create a winning CV in minutes with the StandOut CV builder: https://cvbuilder.standout-cv.com/cv-template-picker/?,2019-11-29T12:22:28Z,@TheStiglit,"Genuinely great video, comprehensive and has set my mind at ease as a service leaver, thank you.",2021-05-02T10:32:06Z,7
