videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
y7z9Rtp3TtQ,America’s Exceptional Labor Force (Episode 3),America's economy benefits from its mobile society and dynamic labor force. American rates of mobility are much higher than in ...,2018-07-10T16:47:03Z,@DamonCassada345,Except this would lower the minimum wage,2018-08-06T23:21:32Z,1
y7z9Rtp3TtQ,America’s Exceptional Labor Force (Episode 3),America's economy benefits from its mobile society and dynamic labor force. American rates of mobility are much higher than in ...,2018-07-10T16:47:03Z,@rushopolis,I think our nation is a little too welcoming.,2018-07-13T02:24:25Z,5
y7z9Rtp3TtQ,America’s Exceptional Labor Force (Episode 3),America's economy benefits from its mobile society and dynamic labor force. American rates of mobility are much higher than in ...,2018-07-10T16:47:03Z,@LydiaXavier321,I'd be all for it if the system was made for that,2018-08-02T00:10:16Z,0
y7z9Rtp3TtQ,America’s Exceptional Labor Force (Episode 3),America's economy benefits from its mobile society and dynamic labor force. American rates of mobility are much higher than in ...,2018-07-10T16:47:03Z,@miltonperez3421,Less tolerant to class war? Lol,2018-07-12T04:15:41Z,5
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@DH-gp3gp,Non-compete clauses should be outlawed.,2019-08-07T22:09:42Z,99
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@alirE2904,Low wages due to desperate people who need to work and employers who love it that way.  Their profits keep growing.,2019-08-18T12:36:49Z,67
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@slidejones6033,Its every man for himself at this point,2019-10-28T11:39:19Z,38
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@jerryjacob6604,Why are we studying to get a job seeing that there will be low employment in the future and more automation...,2019-08-06T16:51:44Z,63
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@NaNa-nu9sf,"Hardcore Absolute Fact:  A livable wage is now $20 - $30/Hour full time, depending on state just to keep up with cost of living!!!!  $15/Hour is enough for a high schooler living at home with mom and dad and no bills!!!!!!",2019-10-08T19:25:24Z,49
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@shiblee0670,"Mechanism , culture , mentality , and greed are there to ensure that middle class will never flourish again . Automation does not explain low wage",2019-08-06T21:13:38Z,51
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@titolovely8237,"short answer:  the last 30 years of legislation has been aimed at benefiting capital and investment returns and lowering corporate taxes at the expense of labor rights. it's not an accident, the economy is working exactly as it was designed to. if you want to do well in a low growth, low wage, high capital return economy, you have to invest. wages really are becoming the means to the acquiring capital to invest which is the road to wealth, rather than a road to wealth itself.",2019-08-07T00:42:54Z,94
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@sgrande99,It’s called greed plain And simple,2019-12-06T13:06:47Z,17
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@theoccasionalvideo,The rich are getting richer and the poor are poorer.,2019-08-12T03:16:03Z,35
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@ruans.p.5323,"It will only get worse, until everything breaks down. People won't support this situation for much longer.",2019-08-06T17:16:24Z,89
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@willardSpirit,A bill that would increase wages but probably be blocked in the Senate? Blame Moscow Mitch,2019-08-06T22:34:17Z,62
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@gordonallen9095,The lack of collective bargaining in the workplace has led to the stagnation of wages over the last few decades. UNITED we bargain. DIVIDED we beg.,2019-08-08T21:16:26Z,10
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@MarkPineOfficial,It does feel like wages are low. 🦄,2019-08-11T12:10:36Z,7
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@jayyang8876,Wall Street journal sucks now.  They are afraid to say that CEO's making 10-100+ millions dollars are another reason why wages are so low.  All the record profits are going into stock buybacks and not for employee bonuses and higher wages.,2019-08-11T15:27:33Z,8
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@infinitecuriosity9210,"Y'all need to get Andrew yang to do this topic, his knowledge is staggering ,I hear some of his message here nice to hear.",2019-08-07T00:14:00Z,44
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@peterjack9994,"lift wages are not wages since the driver also has to pay for gas and maintenance, which are not wages.",2019-08-10T20:53:05Z,10
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@ConanDuke,Because we haven't burned down enough mansions.,2021-05-19T11:00:16Z,2
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@nikkivielerNLEU,"Well, it's because there are some really big and deep issues that aren't being dealt with...",2019-08-07T08:52:11Z,4
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@paulsawczyc5019,"People must be kept poor in order to control them - raise armies, navies, laborers and keep them from gaining control. Wages will always be low - it is stupid to talk about them going up.",2019-10-21T05:13:42Z,10
e7KrU2kG4t4,Why Are Wages Low in the Growing Job Market? | WSJ,The U.S. labor market has added jobs for 106 straight months. But wages aren't growing as fast as expected. WSJ markets ...,2019-08-06T16:46:29Z,@Jhihmoac,"Sort of like she says, ""If your employer can find an H1B, someone in a developing country, or a form of automation that can do your job for peanuts or absolutely nothing at all, why should they pay you a decent living wage?"" Corporations today are for the benefit of their investors/stockholders, not for the customer, the consumer, nor anyone or anything else - Amen!",2019-09-11T20:47:32Z,10
