videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@fayzaable,"I hope you never quit your ""day job"" to do youtube full time, just because it makes you so much more relatable ! Youtuber are just not relatable anymore. They all have a YOUTUBE LIFE; which is fun to follow but clearly, can't relate",2019-07-17T01:56:44Z,459
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@alaaabdou8014,I’ve noticed how you tend to call your YouTube videos boring but you’re probably one of my favorite if not favorite YouTuber! You’re so mature and open minded! You carry yourself so well and are not the typical basic gal!!,2019-07-17T01:48:26Z,213
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@haddys2425,no one: Brooke: I👏🏻 LOVE👏🏻 BOSTON👏🏻👏🏻,2019-07-17T01:30:47Z,153
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@TaliaLea,"honestly your self growth has shown so much through all of your recent videos!  your college and now career journey have been so inspiring!  so real showing every aspect both good & bad,  love it:)",2019-07-17T02:03:36Z,86
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@Nolakuer,Yes Brooke! Killing the uploading game even with your 8-5 job and can’t wait for your next video!,2019-07-17T01:28:11Z,170
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@HaleySchultz,"I think the work and youtube separation specifically with the company will happen soon and people won't comment and be weird once its not ""new"" anymore! Dont stress (:",2019-07-17T01:47:27Z,56
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@cookierocks1000,"You're one of the few YouTubers that not only has a ""real job"" but is so humble about the whole thing. It's very admirable that you recognize your privilege and are grateful for it. Love you Brooke!!",2019-07-17T11:02:53Z,25
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@jepswashere,I just moved into my first apartment in ct and started my first post grad job! Its definitely an adjustment living alone and adulting/working all day! Im so happy i found your channel because it is so relatable!,2019-08-07T02:01:16Z,0
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@zlightful,"I just want to say I appreciate you acknowledging the privileges and blessings you have. I know it can get tiring to repeat, and I'm sure people are not always polite when ""calling you out"" on it, but the way you receive constructive criticism and feedback really shows how mature you are. AND you definitely don't take it for granted and work hard for what you have earned! GOOD JOB to your parents for raising you so right! :)",2019-07-17T03:23:02Z,4
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@alexisl89,"Some recommendations from a fellow MA resident: Friendly Toast, Myers & Chang, Flour Bakery, and Tatte, are some of my faves!",2019-07-17T01:48:20Z,48
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@michaelaburr1720,"Boston is seriously so underrated, I've visited so many times and I know for sure I want to move there after I graduate college! I just love like the vibe of the city and how people are so fun/passionate (especially about sports which you gotta love)",2019-07-17T01:49:51Z,26
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@ashleybell3148,You fucking rock,2019-07-21T02:26:20Z,0
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@Zachary_Peace,"Welcome to Boston!!!!   Check out ""Explorateur Cafe"" it's relatively new, right next to Boston Common.   Also check out the Dim Sum places (""China Pearl"") around here, they are generally authentic and come around with carts of delicious food (tip: just say ""yes"" because you can't understand them--unless you speak their language).  Cambridge MUST GO: Life Alive--you literally need this in your life. Mostly Vegan, 100% Vegetarian, and a lot of gluten free options. ALL GOOD. Get the Spring Alive smoothie.",2019-07-22T23:07:00Z,3
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@collierincolor8972,"I would love to hear what types of tasks comprise a day at work for you (like is it a lot of phone calls, answering emails, meetings etc.?). Not vlogging at work because that's unprofessional but just giving a rundown of what types of tasks you do as an entry-level person in sales",2019-07-20T14:36:27Z,0
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@maddiewatson5599,I love you so much and your videos I've been watching you for about 6 months and I am so excited that you are working in Boston. Boston is my home away from home. I'm from NJ but every time I go to Boston I feel like I'm home. I fit so well there and I hope to go to college there or have a job in the city one day! When I watch your videos I feel like I get a little piece of the city and I feel so overwhelmed with joy and happiness.,2019-07-21T18:19:59Z,0
pQ6-jHTa7FI,life catch up / Q+A!  my life in boston + my job,hi everyone! thanks for watching! hope u are all doing well :) loving life rn and just wanted to drop a short video that isnt a vlog for ...,2019-07-17T01:27:14Z,@niiidddhhhiii,"That's a great attitude! The moment you start dreading going into work (on a regular basis not the occasional days), that's when you will no longer enjoy work and end up quitting to pursue a different position",2019-07-19T03:19:34Z,0
