videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@UnnecessarilyAGiantNerd,Mad respect for Max to not only call her parents but also to blur her financial details,2025-07-07T21:45:49Z,305913
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@mvtx87,Also mad respect for taking her seriously!   Speaking in a way that was child friendly but not belittling her! Props,2025-08-06T14:36:14Z,42378
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@sacrilegiousboi978,"This 12 year old is more articulate and carries herself better than many college students, her parents have done a good job",2025-07-28T22:37:09Z,25540
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@NahiaKuromi,Who saw the boy in the back giving flowers to a girl 😂😂,2025-11-24T14:57:30Z,169
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@rwaniito,12 years old and speaks an absolutelly perfect english. Us french should be ashamed,2025-07-07T20:38:57Z,13306
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@aamira,"""Hello sir we have a job"" Hilarious way to tell him 😂",2025-07-07T20:53:06Z,28232
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@jeddtam9085,"after knowing the job is modeling, her answering ""no"" when Max asked if he would have done it is quite humorous",2025-07-07T22:11:54Z,99417
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@ShowUsmusic,Max was kind and friendly to this random girl and took her serious! Respect 💪,2025-10-25T21:51:24Z,77
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@yseeker.2,"Just a reminder,  English is her SECOND language.. and she was fully capable of explaining herself in it 😊",2025-08-09T19:39:32Z,9774
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@chenoaholdstock3507,"I really love that he SHOWS that he calls the parents. Not only doing the right thing, but showing it and setting the right example",2025-07-21T20:29:13Z,10094
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@crotchetychris,Very well spoken young lady.,2025-07-08T19:42:19Z,75016
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@joybarnes6566,Who saw the girl get on one knee and give the guy flowers mad respect 🙏🏽,2025-09-26T22:41:52Z,396
5pKvzNxlt58,She is 12 years old and has a job? 🤯 Ep. 254 🪜,,2025-07-07T20:22:36Z,@GGBel1,"-Do you think I did this job as a kid? -No.   In retrospect, ouch 💀😂",2025-07-17T20:18:14Z,339
