videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@RaviSoni-eu6mm,I want go to Spain 🇪🇸.,2019-09-18T01:40:18Z,5
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@rafikphone4457,nice....,2018-12-20T15:31:05Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@amratsingh4813,Sir plz help me,2018-05-21T15:01:25Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@richikamalrichikamal5690,very nice,2018-09-15T08:09:58Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@deepakanupant.sriradheju443,Namaskar ji,2018-12-06T12:28:15Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@palikkap6765,Ham nepal se hai kya aap bata sakte.hai kaise,2018-08-20T04:20:01Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@tarjindersinghbhinder181,Sir aap reply toh krdo,2020-06-10T17:12:30Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@rohitsabnani2560,Sir spain ka green card kse milta,2018-07-05T13:32:02Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@DhirajKumar-ic2wd,Sir ap apna no do plz,2018-05-20T03:56:19Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@mohdkhader5514,Tell about ajucation,2021-04-07T07:47:38Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@vijayjangir5429,Please sir Ripley me,2019-06-23T08:51:31Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@zunizuni1116,i have question keh agar ics kar ke jaen sath sath study karni ho toh kia job mil skti hai sath sath???,2018-08-14T18:25:49Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@arshdeepsingh7851,"+2 pass lai work visa mil Sakta hai,,,kaise apply kre",2019-02-19T14:49:11Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@tothepointreaction,"hello Sir need bit urgent help please , got a job from Spain , i have few question  from where i get the possessing file copy  through mail from employee or Spain embassy in India ?  and from where i get the letter to send Spain labor dep. ?i have to send or embassy ?",2018-10-23T10:15:05Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@anantkumar5636,I know very well Spanish language so how can  apply job in Spain,2018-12-15T11:00:27Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@ravichandel8690,automobile engg mein diploma kya hai koi job hai marketing or sale nahi techincal mein,2018-07-29T11:03:41Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@vijayjangir5429,Hello,2019-06-21T10:06:26Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@sandeeprao6010,Sir paper work Ka kya process he ? Agar Spain me paper banana ho to? Sir please reply Karna,2018-06-13T11:40:19Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@sandeepojha9638,where is your office,2020-09-13T08:22:24Z,2
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@lovemrugen,So nice to see your reply boss no 1 reply so many questions my brother is in Portugal on work permit can shift to Spain and what will be the requirements,2020-09-07T18:19:13Z,2
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@mohdkhader5514,I m only enter meadad,2021-04-07T07:49:06Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@senthamaraiselvananbalagan144,Hi sir...i want apply chef job in Spain country. I am already working in Europe curious line 7 years. Now i want family alone visa..i got married....u have any idea....pls...,2018-11-21T11:10:52Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@009salmansaifi6,sir m computer operator hu english typing or computer hardwere course kia h muje kii job mil sakti h,2019-12-31T04:04:27Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@shamagillgill2110,Hlo sir kya girl ke lae job h,2018-09-20T08:40:06Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@matthewsantiago8114,What language you are talking. I thought this was english?,2018-06-16T02:27:39Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@Gagandeepsingh-qx5gk,Sir reply,2020-04-07T04:35:11Z,1
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@amazingvlogs877,Sir ap apna whats app no dijiye,2018-05-21T14:39:04Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@ShailendraYadav-vg6wk,Sir Russian work visa chahey. Kay aap Mara help ker skta Ho. Koe office india m Ho to btaey hmm wha per visit kra.  I'm HVAC tacnicion. Please reply me sir. Thanks,2018-08-04T16:02:55Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@Khalsabir1699,Hello sir mai agent say consult kiya hai 7lakhs work permit me maang raha hai then 3 lakhs for trv apply plzz suggest me what can I do Jo work permit hai WO Colgate company ka hai 50000 rs salary agar aap larva sakte ho to tell me what I can do plzzzz reply me,2018-05-21T13:56:56Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@devflux_amar,Sir spain business visa kaise le skte hain?,2018-07-05T17:26:57Z,2
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@souravsaha9073,sir kia muje apka what's app number milskta hea??,2018-05-20T04:28:15Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@hangamakamboj3353,es mentira,2018-07-16T13:18:50Z,0
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@rachanapatel5621,how will interview process conduct if English is not preferred specially for IT sector job? Please give some information.,2018-05-20T06:15:54Z,3
yCTWPyA9MU4,Spain Work Permit,For Jobs Visit: 1. www.expatica.com/es/jobs 2. www.bncuniverse.blogspot.in.,2018-05-20T02:41:35Z,@Gagandeepsingh-qx5gk,Sir ma 10th pass hu ma spain ja sakta hu work permit visa te kinna ku kharcha auna total,2020-04-07T04:34:57Z,1
