videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@Metonymy1979,Why the hell would she have to sign such a thing? She's an American not Israeli. What the hell is going on?,2018-12-18T17:20:21Z,309
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@zjay1356,This was 4 years. I just looked it up and she won this case and they temporarily blocked the law. Good for her,2023-11-28T16:56:44Z,29
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@dvoravithanovsky6902,What do such rules have to do with our school system? This is insanity,2023-12-11T14:24:59Z,82
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@samysupersport6809,This is absolutely ridiculous that they would try to force anyone to sign and agree to that BS! Such a violation!! I hope she wins this case!,2021-06-25T10:59:03Z,193
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@keirfarnum6811,Why are people being required to sign an oath to a foreign country?!  This is a violation of her 1st Amendment rights.,2021-06-01T15:34:14Z,1488
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@bossssss,I am so proud of Americans who report journalism as it should be.,2021-05-29T21:08:37Z,295
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@k77zero1,She has every right to refuse this is America.,2018-12-18T21:25:33Z,354
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@jakckt,This is the first I have heard of this type of state law. This is outrageous. Why are so many politicians taking away constitutional rights from Americans? This needs to stop. Good for her for taking a stand against this unconstitutional law.,2023-11-03T00:05:13Z,46
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@tonirodriguez6649,I wouldn’t sign it either. Thank you for standing up to this insanity.,2021-05-30T01:54:14Z,648
9dOfQYBXJOI,"Meet the Texas Speech Pathologist Who Lost School Job for Refusing to Sign Pro-Israel, Anti-BDS Oath","https://democracynow.org - A Palestinian-American speech pathologist in Austin, Texas, has filed a federal lawsuit for losing her ...",2018-12-18T16:35:51Z,@ceonach,A disgraceful abuse of that lady's rights.,2021-05-24T20:39:22Z,576
