videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
zIAUFApDXR4,Union Jobs for the Port Washington Area,"Vantage Data Centers, a leading global provider of hyperscale data centers, is proud to announce a transformative $15 billion+ ...",2025-12-09T16:02:32Z,@minusculebraincell5030,"Bullshit, it’ll fuck up our waterways. I don’t need a data center, some big corpo does cause they want to fire some workers and replace them with AI",2025-12-26T19:13:52Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@thadtucker339,Dammit I don't see any concrete finishers,2025-07-23T15:21:48Z,2
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@55jeads,"Head of Sales $200k base, $200k commissions -$400k total at plan, can go much higher",2025-07-26T08:45:06Z,9
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@albertsegovia6511,Drug dealer 1.5 mil last month 😎,2025-09-08T02:54:54Z,5
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@richardclifford003,"Those who risk their lives for the common good or conduct physical labor, don't even rate a reach around.",2025-09-04T20:35:25Z,2
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@ganeshkumarharikrishnan8493,I M  in IT got the title but nowhere close to the salary because most all foreigners h1b,2025-07-26T16:24:54Z,2
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@Aniratoom,Shares are most payed,2025-07-19T07:06:50Z,1
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@JC-gt3xv,Why does the person who puts you to sleep get paid more than the one performing the surgery? Makes no sense.,2025-08-19T02:36:32Z,7
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@pranya2021,What about agricultural sector,2025-09-02T06:19:50Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@marioluigi-oq2nv,Pilot 👌,2025-10-30T19:48:48Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@triodehexode,"Reel workers like heirs, Financial fat cats and real estate and gambling execs and owners are not on this list of losers.",2025-07-20T22:31:22Z,1
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@azzymlbb5811,Hardware Engineer isn't there?,2025-09-29T14:41:18Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@AleemAleemhameed,❤good,2025-12-31T14:06:38Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@gohfai,Why the funeral parlour workers are not high paid😮,2025-09-10T13:45:51Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@cybertech5798,Rajat orora sir😢,2025-11-16T12:46:11Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@BDUNDERPAR,What an unrealistic list.,2025-07-23T22:01:33Z,1
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@traceybrooks4218,Damnnn a postal worker ain’t even on the list smh 😑,2025-09-05T18:32:36Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@ilyassemoueffek9381,Cybersecurity ???,2025-08-18T02:05:04Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@BiggzBell,And nobody actually bends their back.,2025-09-10T18:13:05Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@robertmccarthy1256,"My son is a maintenance man for a petroleum company, 168k last year",2025-07-26T16:54:26Z,6
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@baltimorehoodboss1157,And it's  still not enough...,2025-09-05T14:11:54Z,0
UJJQTUqCjzY,Top 22 highest paying jobs in the USA,,2025-07-18T18:25:15Z,@jameswatkins4928,The salary for anesthesiologist is actually well below what I actually made.,2025-09-04T20:46:45Z,1
