videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@TheKdcool,"Just so you know, you are the reason I were subscribed to Vox.  [Edited 2 years later]",2018-11-30T01:25:17Z,3166
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@sayanmondal4570,From being rejected to the most popular person in Vox ..  really inspiring..,2018-11-30T09:29:23Z,343
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@insertname8506,This guy carries vox.,2018-12-05T10:28:03Z,3407
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@nathanieldrew,"Very cool, I really appreciate the transparency and you sharing your experience.",2019-01-06T23:59:21Z,341
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@BaggyGabby,I’m a lost college student who needed this right now.,2018-12-02T00:27:58Z,1327
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@sarahvo5956,Broke and moved to D.C?? Wow you guys are really brave,2018-11-30T05:26:54Z,546
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@nabhaiamina,"From getting rejected from the company to making the best series for the company, Love it! 🔥",2018-11-25T18:23:22Z,653
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@fine1298,Even this video is Vox-styled,2018-11-30T05:44:21Z,402
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@スターターズ,I realize I should be more and more humble and work hard.,2018-11-25T15:36:01Z,1171
hzwfWzGmCnw,How I Got My Job at Vox | Lessons About Getting a Job in Video,How video went from hobby to job for me. Part I: https://youtu.be/WosBbOSbzvA Here's that video résumé I did in 2014 ...,2018-11-25T15:05:10Z,@allthingsfascinating,"What I like in your videos is not the motion graphics so much but the raw feel of you walking with a camera in your hand and going to a new place. Even if you do away with the motion graphics but just have a high quality well edited video of you running around with a camera, I'd watch it. You give me the feel of a gonzo journalist, like what's that guy who wrote Palestine.",2018-12-08T04:18:41Z,411
