videoId,videoTitle,videoDescription,videoPublishedAt,commentAuthor,commentText,commentPublishedAt,commentLikeCount
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@kitkat-bp9ho,"It is ironic that Japan has created games, mangas and anime but they don't have time to enjoy them.",2018-08-20T20:02:40Z,22701
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@aria1477,"Behind of japan successful story, we didn't see their failures, stress, anxiety, depression, frustration, dissatisfied, disappointment, etc. that end them to die or commit suicide.",2020-05-18T12:19:52Z,3655
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@jqv002,"""This is why anime and manga are mostly during highschool, because after it, it gets worse.""         -some guy on a youtube video",2020-08-29T11:21:15Z,3198
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@myownchaos9144,This is why Nanamin left his job and returned to the jujutsu world,2024-02-08T15:07:20Z,53
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@rohitbumb9854,They worked so hard for the future generations that they actually forgot to make future generations 😂😂,2020-08-01T12:35:58Z,9034
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@ahmadalibaig7881,“If working hard made you rich laborers would be millionaires”,2019-11-30T14:47:40Z,5676
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@youtubeuser8636,"Dude, you work for living, and not live for working..",2019-01-25T23:54:34Z,5586
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@donaldduck9233,"He never actually discussed why they work so hard, he just expressed the fact that they do work hard.",2024-03-04T22:53:54Z,550
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@thisissyedbasim,Someone: My life is miserable Japanese workers: hold my work hours,2021-06-29T10:10:13Z,714
9Y-YJEtxHeo,Why does Japan work so hard? | CNBC Explains,Japan has some of the longest working hours in the world. CNBC's Uptin Saiidi travels to Tokyo to understand its corporate culture ...,2018-05-31T21:00:00Z,@damnryan5581,"I mean Japanese people are too polite. They don’t complain when they were young at school, so they think that stop working or resting are bad thing.",2019-11-25T08:21:35Z,1280
